SRA run accession number	tissue	MR1:NM_001195000 normalized count	MR1:NM_001531 normalized count	NM_001531:NM_001195000 ratio
SRR810619	Heart	28.1182	0	0
SRR1433131	Blood Vessel	27.0468	0	0
SRR660426	Skin	20.5036	0	0
SRR662462	Skin	18.8588	0	0
SRR658837	Skin	18.6104	0	0
SRR659049	Nerve	18.3581	0	0
SRR1340598	Ovary	18.2956	0	0
SRR1360194	Colon	17.263	0	0
SRR661373	Skin	15.1959	0	0
SRR1382912	Nerve	14.0991	0	0
SRR655911	Nerve	13.8189	0	0
SRR1360695	Adipose Tissue	13.6048	0	0
SRR1320601	Esophagus	13.5211	0	0
SRR659212	Adipose Tissue	13.2275	0	0
SRR1400799	Esophagus	13.1527	0	0
SRR1406954	Skin	13.1527	0	0
SRR1319584	Esophagus	12.9866	0	0
SRR1442440	Colon	12.9383	0	0
SRR659247	Skin	12.8846	0	0
SRR1085996	Adipose Tissue	12.6596	0	0
SRR1444138	Adipose Tissue	12.2118	0	0
SRR662414	Nerve	11.9427	0	0
SRR657985	Skin	11.4351	0	0
SRR1485190	Skin	27.3774	0.701985	0.0128205
SRR1416337	Skin	11.0818	0	0
SRR1322918	Esophagus	10.8554	0	0
SRR663261	Brain	10.6396	0	0
SRR615237	Adipose Tissue	10.5911	0	0
SRR1346861	Breast	10.5589	0	0
SRR1479286	Heart	10.1369	0	0
SRR613318	Blood Vessel	9.99946	0	0
SRR1360258	Colon	9.66377	0	0
SRR612407	Brain	9.61118	0	0
SRR1345369	Nerve	9.58136	0	0
SRR1476231	Blood Vessel	28.1287	0.937624	0.0166667
SRR664842	Brain	9.45224	0	0
SRR1396804	Blood Vessel	28.0809	0.985294	0.0175438
SRR1453591	Stomach	18.9596	0.526657	0.0138889
SRR1073143	Brain	8.93924	0	0
SRR1328577	Breast	23.4626	0.837948	0.0178571
SRR1353353	Skin	19.5878	0.631865	0.016129
SRR1453639	Nerve	8.09967	0	0
SRR1415420	Breast	8.09372	0	0
SRR660007	Brain	8.08773	0	0
SRR1366412	Small Intestine	7.93825	0	0
SRR1386945	Breast	15.5403	0.457067	0.0147059
SRR1431104	Uterus	7.7368	0	0
SRR1349387	Skin	7.68731	0	0
SRR661973	Brain	7.63998	0	0
SRR614802	Brain	7.39143	0	0
SRR1396640	Brain	7.30613	0	0
SRR613390	Adipose Tissue	7.29712	0	0
SRR663296	Muscle	7.28237	0	0
SRR1499873	Blood Vessel	31.9599	1.598	0.0250001
SRR1414058	Skin	20.3363	0.847346	0.0208333
SRR660283	Breast	7.21507	0	0
SRR615994	Nerve	7.06455	0	0
SRR659389	Blood Vessel	18.1567	0.741089	0.0204081
SRR1323628	Heart	6.98029	0	0
SRR1100893	Breast	17.3393	0.693572	0.02
SRR1097270	Skin	6.83713	0	0
SRR663076	Adipose Tissue	26.9985	1.38454	0.0256411
SRR1098050	Esophagus	17.0299	0.709581	0.0208334
SRR813656	Muscle	6.72695	0	0
SRR665502	Brain	6.64846	0	0
SRR660534	Blood Vessel	32.2599	1.79222	0.0277778
SRR1077183	Blood Vessel	6.57313	0	0
SRR817797	Brain	6.46639	0	0
SRR1389747	Blood Vessel	18.7826	0.894407	0.0238095
SRR656994	Nerve	6.26519	0	0
SRR1478207	Skin	13.5797	0.543187	0.02
SRR1416911	Nerve	17.4206	0.829553	0.0238095
SRR660709	Muscle	6.22694	0	0
SRR657599	Adipose Tissue	19.0129	0.950645	0.025
SRR1097013	Adipose Tissue	19.7171	1.01113	0.0256409
SRR660474	Skin	6.05815	0	0
SRR1120869	Adrenal Gland	30.7298	1.88142	0.0306123
SRR1071453	Adipose Tissue	16.1238	0.767798	0.0238095
SRR1414613	Pancreas	6.00345	0	0
SRR613896	Adipose Tissue	19.0119	1.00062	0.0263156
SRR658873	Skin	28.5151	1.74582	0.0306122
SRR1329761	Brain	5.85685	0	0
SRR1485722	Adipose Tissue	19.4033	1.07796	0.0277777
SRR613843	Blood Vessel	22.4386	1.31992	0.0294118
SRR1087197	Heart	5.7941	0	0
SRR1317022	Skin	13.3677	0.607623	0.0227273
SRR1443734	Skin	5.74853	0	0
SRR1309875	Pancreas	5.64997	0	0
SRR656493	Brain	5.63375	0	0
SRR1341854	Adrenal Gland	32.7242	2.21859	0.0338983
SRR1321570	Blood Vessel	26.1478	1.68696	0.0322582
SRR1397627	Skin	15.482	0.814841	0.0263158
SRR1485438	Liver	5.53904	0	0
SRR819134	Brain	5.53277	0	0
SRR1404003	Skin	13.9324	0.696618	0.0249999
SRR1403240	Skin	23.7423	1.53176	0.032258
SRR1097296	Bladder	14.7102	0.817234	0.0277778
SRR1417936	Blood Vessel	25.79	1.77862	0.0344827
SRR1468360	Nerve	13.3335	0.701762	0.0263157
SRR1352597	Testis	5.20056	0	0
SRR1393449	Muscle	5.18511	0	0
SRR1382508	Heart	5.1601	0	0
SRR1329508	Small Intestine	15.3847	0.90498	0.0294117
SRR1324206	Breast	13.2203	0.734461	0.0277778
SRR1098361	Stomach	4.95853	0	0
SRR612503	Skin	4.9411	0	0
SRR615371	Blood Vessel	22.1312	1.5808	0.0357143
